Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
,,,,,,,,,,,4.580,0.61,0.54,-24.29,4.580,0.51,-1.24,-8.45,4.580,0.50,-0.82,-0.14,4.580,0.54,0.38,-30.32,2.290,0.37,-0.05,171.75,4.580,0.60,0.47,5.76,4.580,0.49,0.22,5.09,4.580,0.56,-0.07,-57.81,4.580,0.58,0.70,35.91,4.580,0.42,-0.54,5.78
,,,,,,,,,,,4.590,0.61,0.22,-6.68,4.590,0.49,-1.25,6.61,4.590,0.50,-0.76,4.57,4.590,0.54,0.03,-10.52,2.295,0.37,-0.22,-100.79,4.590,0.61,0.44,-19.38,4.590,0.49,0.12,-3.14,4.590,0.56,-0.28,8.55,4.590,0.59,1.19,-13.66,4.590,0.41,-0.52,3.15
,,,,,,,,,,,4.600,0.62,0.41,6.28,4.600,0.48,-1.11,9.90,4.600,0.49,-0.73,2.72,4.600,0.54,0.17,50.69,2.300,0.37,-1.06,-79.93,4.600,0.61,0.08,-16.56,4.600,0.49,0.15,12.34,4.600,0.56,0.10,35.82,4.600,0.60,0.43,-35.53,4.600,0.41,-0.47,14.42
,,,,,,,,,,,4.610,0.62,0.35,-30.15,4.610,0.47,-1.05,4.16,4.610,0.48,-0.71,1.61,4.610,0.54,1.04,12.26,2.305,0.36,-1.02,51.07,4.610,0.61,0.11,5.99,4.610,0.50,0.37,7.61,4.610,0.56,0.43,20.75,4.610,0.59,0.48,12.69,4.610,0.40,-0.23,14.42
,,,,,,,,,,,4.620,0.62,-0.19,-27.66,4.620,0.46,-1.03,-1.99,4.620,0.47,-0.69,2.48,4.620,0.56,0.41,-29.11,2.310,0.36,-0.55,61.79,4.620,0.61,0.20,0.81,4.620,0.50,0.31,-2.40,4.620,0.56,0.51,13.09,4.620,0.61,0.68,-22.04,4.620,0.40,-0.19,-4.07
,,,,,,,,,,,4.630,0.62,-0.20,-1.93,4.630,0.45,-1.09,-1.22,4.630,0.47,-0.66,3.35,4.630,0.55,0.46,5.81,2.315,0.35,-0.40,28.37,4.630,0.61,0.12,-2.63,4.630,0.50,0.32,2.94,4.630,0.57,0.69,-0.70,4.630,0.61,0.04,-18.27,4.630,0.40,-0.31,-3.60
,,,,,,,,,,,4.640,0.62,-0.23,-18.21,4.640,0.44,-1.05,13.40,4.640,0.46,-0.63,4.15,4.640,0.57,0.53,-6.33,2.320,0.35,-0.26,2.10,4.640,0.61,0.15,4.21,4.640,0.51,0.37,4.45,4.640,0.58,0.50,-43.61,4.640,0.61,0.32,22.43,4.640,0.40,-0.26,10.63
,,,,,,,,,,,4.650,0.61,-0.57,-16.21,4.650,0.43,-0.83,14.61,4.650,0.45,-0.58,5.56,4.650,0.56,0.33,1.04,2.325,0.35,-0.38,5.09,4.650,0.61,0.21,0.68,4.650,0.51,0.41,-4.41,4.650,0.58,-0.18,-32.75,4.650,0.61,0.49,-5.07,4.650,0.40,-0.10,9.28
,,,,,,,,,,,4.660,0.61,-0.56,-6.93,4.660,0.42,-0.76,2.33,4.660,0.45,-0.52,5.99,4.660,0.58,0.55,6.20,2.330,0.35,-0.21,39.97,4.660,0.62,0.16,-9.76,4.660,0.51,0.28,1.27,4.660,0.57,-0.16,28.66,4.660,0.62,0.21,-17.51,4.660,0.40,-0.07,-6.38
,,,,,,,,,,,4.670,0.60,-0.71,0.51,4.670,0.41,-0.78,16.48,4.670,0.44,-0.46,6.47,4.670,0.57,0.46,7.30,2.335,0.35,0.02,26.98,4.670,0.62,0.01,-8.51,4.670,0.52,0.43,17.84,4.670,0.57,0.40,29.69,4.670,0.62,0.14,6.88,4.670,0.39,-0.22,-0.09
,,,,,,,,,,,4.680,0.59,-0.55,-4.88,4.680,0.41,-0.43,25.97,4.680,0.44,-0.39,6.47,4.680,0.59,0.70,-10.35,2.340,0.35,0.06,-32.34,4.680,0.62,-0.01,-2.13,4.680,0.52,0.63,-10.84,4.680,0.58,0.44,-14.14,4.680,0.62,0.35,-6.30,4.680,0.39,-0.07,14.51
,,,,,,,,,,,4.690,0.59,-0.80,-38.12,4.690,0.41,-0.26,4.92,4.690,0.44,-0.33,6.36,4.690,0.59,0.25,-14.96,2.345,0.35,-0.30,-58.60,4.690,0.62,-0.03,-10.99,4.690,0.53,0.22,19.87,4.690,0.58,0.11,-3.26,4.690,0.63,0.01,-34.18,4.690,0.39,0.07,2.92
,,,,,,,,,,,4.700,0.58,-1.31,-14.24,4.700,0.40,-0.33,2.64,4.700,0.43,-0.26,7.27,4.700,0.59,0.40,17.97,2.350,0.34,-0.53,167.18,4.700,0.62,-0.23,-13.00,4.700,0.53,1.03,25.02,4.700,0.58,0.37,5.30,4.700,0.62,-0.33,-6.54,4.700,0.39,-0.02,3.82
,,,,,,,,,,,4.710,0.56,-1.09,40.55,4.710,0.40,-0.21,10.39,4.710,0.43,-0.18,7.70,4.710,0.60,0.61,15.96,2.355,0.34,1.37,95.17,4.710,0.61,-0.29,11.62,4.710,0.55,0.72,-71.85,4.710,0.59,0.22,-23.47,4.710,0.62,-0.12,8.80,4.710,0.39,0.14,4.54
,,,,,,,,,,,4.720,0.56,-0.50,0.75,4.720,0.40,-0.12,9.60,4.720,0.43,-0.11,8.18,4.720,0.60,0.72,-3.22,2.360,0.36,0.43,-199.93,4.720,0.61,0.00,6.22,4.720,0.54,-0.41,11.91,4.720,0.59,-0.10,3.13,4.720,0.62,-0.16,-16.70,4.720,0.40,0.08,1.26
,,,,,,,,,,,4.730,0.55,-1.07,-51.98,4.730,0.40,-0.02,12.52,4.730,0.43,-0.02,8.28,4.730,0.61,0.54,-34.03,2.365,0.35,-0.63,119.30,4.730,0.61,-0.16,-18.80,4.730,0.54,0.96,65.63,4.730,0.59,0.28,19.80,4.730,0.62,-0.45,-7.74,4.730,0.39,0.17,11.11
,,,,,,,,,,,4.740,0.53,-1.54,-2.63,4.740,0.40,0.13,13.03,4.740,0.43,0.06,7.36,4.740,0.61,0.04,-36.44,2.370,0.35,1.62,134.34,4.740,0.61,-0.37,6.32,4.740,0.56,0.91,-59.66,4.740,0.59,0.30,-18.63,4.740,0.61,-0.31,3.17,4.740,0.40,0.30,-0.92
,,,,,,,,,,,4.750,0.52,-1.13,12.07,4.750,0.40,0.24,3.43,4.750,0.43,0.13,6.87,4.750,0.61,-0.19,24.59,2.375,0.36,0.71,-183.80,4.750,0.60,-0.04,7.87,4.750,0.56,-0.24,-45.52,4.750,0.60,-0.09,-22.44,4.750,0.61,-0.39,6.22,4.750,0.40,0.15,-0.76
,,,,,,,,,,,4.760,0.51,-1.30,-8.71,4.760,0.40,0.19,1.71,4.760,0.43,0.20,6.87,4.760,0.61,0.53,21.53,2.380,0.36,-0.22,68.89,4.760,0.61,-0.22,-20.07,4.760,0.56,0.00,26.76,4.760,0.59,-0.15,10.25,4.760,0.61,-0.19,3.97,4.760,0.40,0.28,3.02
,,,,,,,,,,,4.770,0.50,-1.30,8.40,4.770,0.40,0.28,17.91,4.770,0.43,0.27,6.97,4.770,0.62,0.25,-40.73,2.385,0.36,1.40,146.78,4.770,0.60,-0.44,7.66,4.770,0.56,0.30,23.15,4.770,0.59,0.11,15.28,4.770,0.61,-0.31,-33.58,4.770,0.41,0.21,-2.72
,,,,,,,,,,,4.780,0.49,-1.13,11.10,4.780,0.41,0.55,19.92,4.780,0.44,0.34,6.11,4.780,0.62,-0.29,-11.17,2.390,0.37,1.25,-153.69,4.780,0.60,-0.06,12.82,4.780,0.56,0.46,27.48,4.780,0.59,0.16,-14.96,4.780,0.60,-0.86,-0.64,4.780,0.41,0.23,10.58
,,,,,,,,,,,4.790,0.47,-1.08,5.53,4.790,0.41,0.68,10.31,4.790,0.44,0.39,5.09,4.790,0.62,0.02,12.79,2.395,0.37,-0.13,-1.31,4.790,0.60,-0.18,-20.83,4.790,0.57,0.85,-23.06,4.790,0.60,-0.19,-23.61,4.790,0.59,-0.32,15.89,4.790,0.41,0.42,13.03
,,,,,,,,,,,4.800,0.46,-1.02,6.45,4.800,0.42,0.76,5.92,4.800,0.45,0.44,5.63,4.800,0.62,-0.03,5.55,2.400,0.37,1.23,129.68,4.800,0.59,-0.48,-9.39,4.800,0.58,0.00,-33.80,4.800,0.59,-0.32,11.63,4.800,0.59,-0.54,-13.04,4.800,0.41,0.49,3.31
,,,,,,,,,,,4.810,0.45,-0.95,6.72,4.810,0.43,0.80,5.52,4.810,0.45,0.50,5.25,4.810,0.62,0.13,7.32,2.405,0.39,1.16,-70.28,4.810,0.59,-0.37,21.59,4.810,0.57,0.17,20.51,4.810,0.59,0.05,12.89,4.810,0.58,-0.58,10.95,4.810,0.42,0.49,4.18
,,,,,,,,,,,4.820,0.44,-0.88,8.33,4.820,0.44,0.87,13.70,4.820,0.46,0.54,4.34,4.820,0.62,0.11,-21.24,2.410,0.38,0.53,-23.46,4.820,0.59,-0.05,11.74,4.820,0.58,0.41,-31.72,4.820,0.59,-0.06,-19.88,4.820,0.58,-0.32,-8.98,4.820,0.42,0.57,6.21
,,,,,,,,,,,4.830,0.44,-0.78,11.35,4.830,0.45,1.07,11.51,4.830,0.46,0.59,4.03,4.830,0.62,-0.29,-25.91,2.415,0.39,0.93,22.10,4.830,0.59,-0.14,-29.62,4.830,0.58,-0.46,-27.48,4.830,0.59,-0.35,3.93,4.830,0.57,-0.76,-8.93,4.830,0.43,0.61,-3.11
,,,,,,,,,,,4.840,0.43,-0.66,11.01,4.840,0.46,1.10,-3.19,4.840,0.47,0.62,2.74,4.840,0.61,-0.40,10.93,2.420,0.39,0.75,28.03,4.840,0.58,-0.64,2.44,4.840,0.57,-0.14,21.97,4.840,0.58,0.02,10.27,4.840,0.57,-0.50,14.34,4.840,0.44,0.51,-6.48
,,,,,,,,,,,4.850,0.42,-0.56,5.30,4.850,0.47,1.01,-2.16,4.850,0.47,0.64,1.40,4.850,0.61,-0.07,20.23,2.425,0.40,1.21,11.41,4.850,0.58,-0.09,30.39,4.850,0.57,-0.02,13.12,4.850,0.59,-0.15,-18.71,4.850,0.56,-0.47,-12.20,4.850,0.44,0.48,-2.14
,,,,,,,,,,,4.860,0.42,-0.55,2.73,4.860,0.48,1.06,2.31,4.860,0.48,0.65,0.12,4.860,0.61,0.00,-10.28,2.430,0.40,0.87,-74.42,4.860,0.58,-0.03,-14.43,4.860,0.57,0.12,17.37,4.860,0.58,-0.35,0.63,4.860,0.56,-0.74,20.23,4.860,0.45,0.47,-2.09
,,,,,,,,,,,4.870,0.41,-0.51,17.05,4.870,0.49,1.05,-3.39,4.870,0.49,0.64,2.14,4.870,0.61,-0.28,-18.57,2.435,0.41,0.46,-13.09,4.870,0.58,-0.38,-11.82,4.870,0.58,0.32,-22.99,4.870,0.58,-0.13,-3.26,4.870,0.55,-0.07,29.83,4.870,0.45,0.44,-2.57
,,,,,,,,,,,4.880,0.41,-0.21,24.36,4.880,0.50,0.99,3.16,4.880,0.49,0.70,6.44,4.880,0.61,-0.37,-4.41,2.440,0.41,0.74,116.00,4.880,0.57,-0.27,26.50,4.880,0.58,-0.34,-28.44,4.880,0.58,-0.42,15.17,4.880,0.56,-0.15,-44.53,4.880,0.46,0.42,-2.51
,,,,,,,,,,,4.890,0.41,-0.02,9.80,4.890,0.51,1.12,4.33,4.890,0.50,0.77,0.89,4.890,0.60,-0.37,0.63,2.445,0.42,1.62,97.45,4.890,0.57,0.15,5.99,4.890,0.57,-0.24,26.05,4.890,0.57,0.17,9.14,4.890,0.54,-0.96,-20.88,4.890,0.46,0.39,-2.83
,,,,,,,,,,,4.900,0.41,-0.01,9.11,4.900,0.52,1.07,-11.33,4.900,0.51,0.71,-9.93,4.900,0.60,-0.36,-9.40,2.450,0.43,1.71,-26.60,4.900,0.58,-0.15,-37.52,4.900,0.57,0.18,-15.62,4.900,0.58,-0.24,-18.58,4.900,0.54,-0.56,47.29,4.900,0.46,0.36,-4.17
,,,,,,,,,,,4.910,0.41,0.16,25.40,4.910,0.53,0.89,-20.36,4.910,0.51,0.58,-6.49,4.910,0.59,-0.56,-11.78,2.455,0.43,1.36,-27.55,4.910,0.57,-0.60,11.27,4.910,0.57,-0.56,-41.61,4.910,0.57,-0.20,4.20,4.910,0.53,-0.01,29.71,4.910,0.47,0.31,-5.21
,,,,,,,,,,,4.920,0.41,0.49,18.62,4.920,0.54,0.67,-13.80,4.920,0.52,0.58,-4.69,4.920,0.59,-0.59,-0.81,2.460,0.44,1.44,1.27,4.920,0.57,0.08,37.77,4.920,0.56,-0.65,21.08,4.920,0.58,-0.15,-8.76,4.920,0.54,0.03,-22.97,4.920,0.47,0.26,-4.84
,,,,,,,,,,,4.930,0.42,0.53,0.21,4.930,0.54,0.61,-2.70,4.930,0.53,0.48,12.34,4.930,0.58,-0.57,8.77,2.465,0.45,1.37,-7.81,4.930,0.57,0.16,-2.31,4.930,0.56,-0.13,26.18,4.930,0.56,-0.38,-0.27,4.930,0.53,-0.47,-18.69,4.930,0.47,0.21,-3.74
,,,,,,,,,,,4.940,0.42,0.50,5.37,4.940,0.55,0.61,17.22,4.940,0.53,0.83,9.17,4.940,0.58,-0.42,24.05,2.470,0.45,1.36,5.60,4.940,0.57,0.03,-14.46,4.940,0.56,-0.13,-8.93,4.940,0.57,-0.16,12.87,4.940,0.53,-0.34,32.56,4.940,0.47,0.18,-4.61
,,,,,,,,,,,4.950,0.43,0.64,11.49,4.950,0.56,0.96,-1.77,4.950,0.54,0.66,-33.13,4.950,0.57,-0.09,18.96,2.475,0.46,1.43,5.23,4.950,0.57,-0.13,-10.63,4.950,0.56,-0.31,-17.12,4.950,0.56,-0.12,-3.04,4.950,0.53,0.18,26.27,4.950,0.47,0.12,-5.70
,,,,,,,,,,,4.960,0.43,0.73,8.17,4.960,0.57,0.58,-48.92,4.960,0.54,0.17,-13.48,4.960,0.57,-0.04,-3.95,2.480,0.47,1.41,-3.88,4.960,0.57,-0.18,17.42,4.960,0.55,-0.47,-10.69,4.960,0.57,-0.22,5.47,4.960,0.53,0.18,-15.51,4.960,0.48,0.07,-4.67
,,,,,,,,,,,4.970,0.44,0.81,7.74,4.970,0.57,-0.02,5.46,4.970,0.55,0.40,-15.83,4.970,0.57,-0.17,-13.35,2.485,0.47,1.39,-3.14,4.970,0.57,0.22,35.28,4.970,0.55,-0.53,3.69,4.970,0.56,-0.01,19.29,4.970,0.53,-0.13,-24.81,4.970,0.48,0.03,-5.22
,,,,,,,,,,,4.980,0.45,0.88,7.43,4.980,0.57,0.69,12.37,4.980,0.55,-0.15,-13.61,4.980,0.57,-0.31,-5.71,2.490,0.48,1.38,-1.01,4.980,0.57,0.52,-17.81,4.980,0.54,-0.39,9.08,4.980,0.57,0.17,-32.51,4.980,0.53,-0.31,23.14,4.980,0.48,-0.04,-4.85
,,,,,,,,,,,4.990,0.46,0.95,6.14,4.990,0.58,0.23,-51.52,4.990,0.54,0.12,41.16,4.990,0.57,-0.28,-16.67,2.495,0.49,1.38,21.29,4.990,0.58,-0.14,-10.48,4.990,0.54,-0.35,2.92,4.990,0.56,-0.66,-20.57,4.990,0.52,0.33,26.87,4.990,0.48,-0.07,-3.75
,,,,,,,,,,,5.000,0.47,1.01,4.93,5.000,0.58,-0.34,-3.05,5.000,0.55,0.67,4.84,5.000,0.57,-0.64,-30.48,2.500,0.49,1.59,20.68,5.000,0.57,0.31,15.55,5.000,0.54,-0.34,0.50,5.000,0.56,-0.25,39.77,5.000,0.53,0.22,-25.21,5.000,0.47,-0.11,-4.85
,,,,,,,,,,,5.010,0.48,1.05,2.41,5.010,0.58,0.17,12.66,5.010,0.56,0.22,-46.84,5.010,0.56,-0.89,42.07,2.505,0.50,1.58,-25.10,5.010,0.58,0.17,-11.44,5.010,0.53,-0.34,-0.13,5.010,0.56,0.14,27.06,5.010,0.53,-0.17,9.60,5.010,0.47,-0.17,-3.99
,,,,,,,,,,,5.020,0.49,1.05,6.21,5.020,0.58,-0.09,-11.35,5.020,0.56,-0.26,-45.37,5.020,0.55,0.20,35.80,2.510,0.51,1.34,-25.50,5.020,0.57,0.09,3.59,5.020,0.53,-0.34,-0.32,5.020,0.56,0.30,2.93,5.020,0.53,0.41,33.99,5.020,0.47,-0.19,-2.90
,,,,,,,,,,,5.030,0.50,1.18,11.12,5.030,0.57,-0.06,7.68,5.030,0.55,-0.69,8.11,5.030,0.56,-0.18,-32.46,2.515,0.52,1.33,-42.45,5.030,0.58,0.24,-10.32,5.030,0.53,-0.34,8.28,5.030,0.56,0.19,-21.20,5.030,0.54,0.51,-10.91,5.030,0.47,-0.23,-3.94
,,,,,,,,,,,5.040,0.51,1.28,12.73,5.040,0.58,0.06,-37.73,5.040,0.54,-0.10,45.19,5.040,0.54,-0.45,34.36,2.520,0.52,0.92,-16.20,5.040,0.58,-0.12,18.43,5.040,0.52,-0.17,13.70,5.040,0.56,-0.13,-23.44,5.040,0.54,0.20,-19.09,5.040,0.47,-0.27,-3.56
,,,,,,,,,,,5.050,0.53,1.43,4.44,5.050,0.57,-0.82,-16.04,5.050,0.55,0.22,-16.53,5.050,0.55,0.51,12.25,2.525,0.53,1.17,83.52,5.050,0.58,0.61,8.89,5.050,0.52,-0.07,-8.92,5.050,0.56,-0.27,-3.70,5.050,0.54,0.12,27.12,5.050,0.46,-0.30,-2.59
,,,,,,,,,,,5.060,0.54,1.37,-48.64,5.060,0.56,-0.26,27.26,5.060,0.55,-0.43,-30.00,5.060,0.55,-0.20,-38.46,2.530,0.54,1.75,-52.93,5.060,0.59,0.06,-30.76,5.060,0.52,-0.35,-9.45,5.060,0.56,-0.20,16.93,5.060,0.54,0.74,31.93,5.060,0.46,-0.32,-2.59
,,,,,,,,,,,5.070,0.55,0.46,-42.58,5.070,0.57,-0.27,-45.73,5.070,0.54,-0.38,13.40,5.070,0.55,-0.26,33.35,2.535,0.54,0.64,-30.40,5.070,0.58,0.00,27.08,5.070,0.52,-0.26,14.43,5.070,0.55,0.06,44.22,5.070,0.56,0.76,-34.27,5.070,0.46,-0.35,-2.76
,,,,,,,,,,,5.080,0.55,0.51,19.24,5.080,0.56,-1.17,-22.47,5.080,0.54,-0.16,-11.12,5.080,0.55,0.47,2.12,2.540,0.54,1.45,35.34,5.080,0.59,0.60,11.44,5.080,0.52,-0.06,7.07,5.080,0.56,0.68,2.88,5.080,0.56,0.05,3.39,5.080,0.45,-0.38,-1.30
,,,,,,,,,,,5.090,0.56,0.84,13.02,5.090,0.55,-0.72,39.84,5.090,0.54,-0.61,-25.55,5.090,0.56,-0.22,-41.16,2.545,0.56,0.99,-43.02,5.090,0.59,0.23,-28.24,5.090,0.51,-0.12,-1.18,5.090,0.57,0.12,-60.55,5.090,0.56,0.83,23.65,5.090,0.45,-0.38,-1.46
,,,,,,,,,,,5.100,0.57,0.77,-6.18,5.100,0.54,-0.38,-0.97,5.100,0.53,-0.67,7.44,5.100,0.54,-0.36,25.10,2.550,0.55,1.02,61.02,5.100,0.59,0.03,9.72,5.100,0.51,-0.09,1.04,5.100,0.56,-0.53,24.53,5.100,0.57,0.53,-28.25,5.100,0.45,-0.41,-0.50
,,,,,,,,,,,5.110,0.58,0.72,-8.00,5.110,0.54,-0.74,-36.61,5.110,0.52,-0.46,8.07,5.110,0.55,0.29,40.52,2.555,0.57,1.60,-109.55,5.110,0.60,0.42,7.60,5.110,0.51,-0.09,2.63,5.110,0.56,0.61,33.77,5.110,0.57,0.26,9.38,5.110,0.44,-0.39,4.75
,,,,,,,,,,,5.120,0.58,0.61,-4.78,5.120,0.53,-1.11,-3.52,5.120,0.52,-0.51,-4.21,5.120,0.55,0.45,-11.17,2.560,0.57,-0.08,-131.45,5.120,0.60,0.19,-10.59,5.120,0.51,-0.03,5.66,5.120,0.57,0.15,-35.54,5.120,0.58,0.71,-9.08,5.120,0.44,-0.31,-2.52
,,,,,,,,,,,5.130,0.59,0.62,-12.28,5.130,0.52,-0.81,12.00,5.130,0.51,-0.54,-1.42,5.130,0.56,0.06,-30.86,2.565,0.57,0.29,73.16,5.130,0.60,0.21,0.37,5.130,0.51,0.02,6.19,5.130,0.56,-0.10,9.81,5.130,0.58,0.08,-5.16,5.130,0.44,-0.44,-8.20
,,,,,,,,,,,5.140,0.60,0.37,-17.61,5.140,0.51,-0.87,-8.23,5.140,0.51,-0.54,-4.38,5.140,0.55,-0.16,18.90,2.570,0.57,0.65,26.18,5.140,0.61,0.19,-2.23,5.140,0.51,0.09,-2.29,5.140,0.57,0.34,2.52,5.140,0.58,0.61,39.47,5.140,0.43,-0.48,3.01
,,,,,,,,,,,5.150,0.60,0.27,-9.33,5.150,0.50,-0.97,1.51,5.150,0.50,-0.63,-0.82,5.150,0.55,0.44,39.85,2.575,0.57,0.55,21.01,5.150,0.60,0.16,-0.50,5.150,0.51,-0.03,0.99,5.150,0.57,-0.05,-8.25,5.150,0.59,0.87,-17.34,5.150,0.43,-0.38,7.28
,,,,,,,,,,,5.160,0.60,0.18,-2.25,5.160,0.49,-0.84,7.54,5.160,0.50,-0.56,2.90,5.160,0.56,0.63,3.81,2.580,0.58,0.86,110.97,5.160,0.61,0.18,-10.43,5.160,0.51,0.11,10.58,5.160,0.57,0.18,8.59,5.160,0.60,0.26,-38.10,5.160,0.42,-0.33,4.04
,,,,,,,,,,,5.170,0.60,0.23,-15.45,5.170,0.48,-0.82,-0.68,5.170,0.49,-0.57,-4.04,5.170,0.57,0.52,-21.15,2.585,0.58,1.66,-97.37,5.170,0.61,-0.04,1.28,5.170,0.52,0.18,5.15,5.170,0.57,0.12,3.81,5.170,0.60,0.11,9.16,5.170,0.42,-0.29,2.59
,,,,,,,,,,,5.180,0.61,-0.13,-21.75,5.180,0.47,-0.85,-3.20,5.180,0.48,-0.64,3.70,5.180,0.57,0.21,-17.51,2.590,0.59,-0.11,-97.04,5.180,0.61,0.21,6.88,5.180,0.52,0.21,6.84,5.180,0.57,0.25,-5.94,5.180,0.60,0.45,26.73,5.180,0.42,-0.28,2.17
,,,,,,,,,,,5.190,0.60,-0.21,2.69,5.190,0.47,-0.89,4.75,5.190,0.48,-0.50,9.30,5.190,0.57,0.17,6.67,2.595,0.58,0.69,73.89,5.190,0.61,0.09,-11.84,5.190,0.52,0.32,-7.00,5.190,0.58,0.00,2.17,5.190,0.61,0.65,-19.00,5.190,0.41,-0.25,6.49
,,,,,,,,,,,5.200,0.60,-0.07,-14.08,5.200,0.46,-0.76,12.40,5.200,0.47,-0.45,3.94,5.200,0.57,0.34,3.07,2.600,0.60,0.63,-146.50,5.200,0.61,-0.03,-2.40,5.200,0.52,0.07,-3.29,5.200,0.57,0.30,6.93,5.200,0.61,0.07,-29.01,5.200,0.41,-0.15,2.47
,,,,,,,,,,,5.210,0.60,-0.49,-26.05,5.210,0.45,-0.64,10.22,5.210,0.47,-0.42,3.39,5.210,0.58,0.23,-6.19,2.605,0.59,-0.78,-1.97,5.210,0.61,0.05,2.99,5.210,0.52,0.25,25.06,5.210,0.58,0.14,-7.63,5.210,0.61,0.07,5.93,5.210,0.41,-0.20,-1.35
,,,,,,,,,,,5.220,0.59,-0.59,-10.59,5.220,0.44,-0.55,8.05,5.220,0.47,-0.38,3.71,5.220,0.58,0.22,13.25,2.610,0.59,0.61,132.50,5.220,0.61,0.03,-2.50,5.220,0.53,0.57,28.33,5.220,0.57,0.14,9.62,5.220,0.62,0.19,-8.67,5.220,0.41,-0.18,7.52
,,,,,,,,,,,5.230,0.59,-0.70,-10.67,5.230,0.44,-0.48,5.40,5.230,0.46,-0.34,5.12,5.230,0.58,0.49,13.79,2.615,0.59,0.55,-15.43,5.230,0.61,0.00,-4.15,5.230,0.53,0.82,-3.05,5.230,0.59,0.34,-14.81,5.230,0.61,-0.11,-3.64,5.230,0.41,-0.05,5.95
,,,,,,,,,,,5.240,0.58,-0.81,-2.56,5.240,0.43,-0.44,7.01,5.240,0.46,-0.28,5.72,5.240,0.59,0.49,-7.22,2.620,0.60,0.45,-124.17,5.240,0.61,-0.05,3.36,5.240,0.54,0.51,-33.69,5.240,0.58,-0.15,-0.11,5.240,0.61,0.11,5.82,5.240,0.41,-0.06,2.33
,,,,,,,,,,,5.250,0.57,-0.75,22.09,5.250,0.43,-0.34,9.92,5.250,0.46,-0.23,4.68,5.250,0.59,0.35,-8.75,2.625,0.60,-0.69,-160.87,5.250,0.61,0.06,7.00,5.250,0.54,0.15,-17.90,5.250,0.58,0.33,16.16,5.250,0.61,0.01,-12.42,5.250,0.41,-0.01,5.44
,,,,,,,,,,,5.260,0.56,-0.37,0.74,5.260,0.43,-0.25,9.86,5.260,0.45,-0.19,5.00,5.260,0.60,0.32,-3.36,2.630,0.59,-1.16,142.76,5.260,0.61,0.09,-13.84,5.260,0.55,0.16,-6.98,5.260,0.59,0.17,-31.19,5.260,0.61,-0.14,5.69,5.260,0.41,0.05,-1.90
,,,,,,,,,,,5.270,0.56,-0.74,-29.25,5.270,0.43,-0.14,10.54,5.270,0.45,-0.13,6.51,5.270,0.60,0.28,8.34,2.635,0.59,0.73,77.66,5.270,0.61,-0.21,-17.98,5.270,0.55,0.01,-0.88,5.270,0.59,-0.29,-8.56,5.270,0.61,0.12,-1.44,5.270,0.41,-0.04,2.75
,,,,,,,,,,,5.280,0.55,-0.95,-6.54,5.280,0.42,-0.03,8.82,5.280,0.45,-0.06,6.14,5.280,0.60,0.49,9.05,2.640,0.60,-0.38,-72.95,5.280,0.61,-0.27,14.35,5.280,0.55,0.14,6.40,5.280,0.58,3.51E-4,33.17,5.280,0.62,-0.16,-18.33,5.280,0.41,0.11,14.54
,,,,,,,,,,,5.290,0.54,-0.87,-0.89,5.290,0.42,0.03,6.77,5.290,0.45,-0.01,5.10,5.290,0.61,0.46,-26.49,2.645,0.58,0.00,30.39,5.290,0.61,0.07,7.17,5.290,0.55,0.14,-1.84,5.290,0.59,0.37,13.06,5.290,0.61,-0.24,9.06,5.290,0.41,0.25,3.41
,,,,,,,,,,,5.300,0.53,-0.97,7.36,5.300,0.43,0.10,7.52,5.300,0.45,0.04,5.53,5.300,0.61,-0.04,-3.33,2.650,0.60,-0.07,-187.97,5.300,0.61,-0.13,-10.49,5.300,0.55,0.10,11.69,5.300,0.59,0.26,-15.27,5.300,0.61,0.02,-9.42,5.300,0.41,0.17,-0.89
,,,,,,,,,,,5.310,0.52,-0.72,-1.71,5.310,0.43,0.18,9.50,5.310,0.45,0.10,6.07,5.310,0.61,0.40,14.34,2.655,0.58,-1.88,-15.14,5.310,0.60,-0.14,0.34,5.310,0.55,0.37,40.57,5.310,0.59,0.07,-11.99,5.310,0.61,-0.43,-25.29,5.310,0.41,0.23,3.59
