Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
,,,,,,,,,,,0.230,0.70,0.00,0.00,0.230,0.71,0.00,0.00,0.230,0.70,0.00,-2.42,0.230,0.71,0.00,0.00,0.115,0.71,-0.27,-2.21,0.230,0.71,0.01,-0.34,0.230,0.71,0.00,0.00,0.230,0.71,0.00,0.00,0.230,0.71,0.00,0.00,0.230,0.66,0.12,1.94
,,,,,,,,,,,0.240,0.70,0.00,0.00,0.240,0.71,0.00,0.00,0.240,0.70,-0.02,1.63,0.240,0.71,0.00,0.00,0.120,0.71,0.01,25.00,0.240,0.71,0.00,-0.95,0.240,0.71,0.00,0.00,0.240,0.71,0.00,-0.09,0.240,0.71,0.00,0.00,0.240,0.66,0.02,-5.47
,,,,,,,,,,,0.250,0.70,0.00,0.00,0.250,0.71,0.00,0.00,0.250,0.70,0.03,2.85,0.250,0.71,0.00,0.00,0.125,0.71,-0.02,-3.13,0.250,0.71,-0.01,-0.70,0.250,0.71,0.00,0.00,0.250,0.71,0.00,0.43,0.250,0.71,0.00,0.00,0.250,0.66,0.01,-1.03
,,,,,,,,,,,0.260,0.70,0.00,0.00,0.260,0.71,0.00,0.00,0.260,0.70,0.04,-1.29,0.260,0.71,0.00,0.00,0.130,0.71,-0.02,2.43,0.260,0.71,-0.01,0.86,0.260,0.71,0.00,0.00,0.260,0.70,0.01,0.61,0.260,0.71,0.00,0.00,0.260,0.66,0.00,-0.17
,,,,,,,,,,,0.270,0.70,0.00,0.00,0.270,0.71,0.00,0.00,0.270,0.70,0.01,-1.47,0.270,0.71,0.00,0.00,0.135,0.71,0.01,4.85E-4,0.270,0.71,0.01,1.13,0.270,0.71,0.00,0.18,0.270,0.71,0.01,-0.43,0.270,0.71,0.00,0.09,0.270,0.66,0.01,0.94
,,,,,,,,,,,0.280,0.70,0.00,0.00,0.280,0.71,0.00,0.00,0.280,0.70,0.01,-0.43,0.280,0.71,0.00,0.00,0.140,0.71,-0.02,-1.41,0.280,0.71,0.01,-0.43,0.280,0.71,0.00,-0.51,0.280,0.71,0.00,-0.52,0.280,0.71,0.00,-0.43,0.280,0.66,0.02,0.51
,,,,,,,,,,,0.290,0.70,0.00,0.00,0.290,0.71,0.00,0.18,0.290,0.70,0.00,-0.52,0.290,0.71,0.00,-0.09,0.145,0.71,-0.01,6.26,0.290,0.71,0.00,-0.52,0.290,0.71,-0.01,-2.93,0.290,0.71,0.00,0.00,0.290,0.71,-0.01,-0.61,0.290,0.66,0.02,0.08
,,,,,,,,,,,0.300,0.70,0.00,0.00,0.300,0.71,0.00,-0.86,0.300,0.70,0.00,0.00,0.300,0.71,0.00,0.43,0.150,0.71,0.04,-3.44,0.300,0.71,0.00,0.00,0.300,0.71,-0.06,-1.57,0.300,0.71,0.00,0.00,0.300,0.70,-0.01,0.61,0.300,0.66,0.02,-0.18
,,,,,,,,,,,0.310,0.70,0.00,0.00,0.310,0.71,-0.02,-1.21,0.310,0.70,0.00,0.00,0.310,0.71,0.01,0.61,0.155,0.71,-0.04,-6.97,0.310,0.71,0.00,0.00,0.310,0.71,-0.04,2.85,0.310,0.71,0.00,0.00,0.310,0.70,0.00,-0.43,0.310,0.66,0.01,-1.06
,,,,,,,,,,,0.320,0.70,0.00,0.00,0.320,0.70,-0.02,1.21,0.320,0.70,0.00,0.00,0.320,0.71,0.01,-0.43,0.160,0.71,-0.03,7.98,0.320,0.71,0.00,0.00,0.320,0.71,0.00,1.82,0.320,0.71,0.00,0.00,0.320,0.70,-0.02,-0.78,0.320,0.66,0.00,-6.40
