0.16,1.266,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #18,Run #18,,,,
0.17,0.8546,Amplitude (cm),Time Delay (s),?? (1/s),Peak to Peak Amplitude (cm),Net Amplitude (cm),Time of Peak 40% (s),Peak Height 40% (cm),ln(Peak Height 40%) (cm),Time of Undamped Peak (s),Undamped Peak Height (cm),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),Time (s),Position (cm),Velocity (cm/s),Acceleration (cm/s??),Voltage (V),,,,
0.37,-6.2459,,,,,,,,,,,0.19,-0.0037,-35.12,330.61,-0.003,0.19,-2.0712,25.7,237.64,-0.002,0.038,,,,-0.003,0.038,,,,0.002,0.038,,,,0.002,0.038,,,,0.003,0.038,,,,0.002,0.038,,,,-0.006,0.038,,,,0.002,0.038,,,,0.002,0.038,,,,-0.004,0.038,,,,0.002,0.038,,,,0.003,0.038,,,,0.002,0.038,,,,0.003,0.038,,,,0.002,0.038,,,,0.002,,,,
0.38,-6.4194,,,,,,,,,,,0.2,-0.2802,-36.3,-444.08,0.001,0.2,-1.7947,26.79,-43.09,0.002,0.04,-2.5323,34.18,-398.2,-0.004,0.04,0.4783,2.41,73.55,0.003,0.04,1.4121,6.7,-434.24,0.002,0.04,1.751,4.47,-507.03,0.002,0.04,1.2023,5.06,-176.97,-0.001,0.04,1.3333,18.23,484.59,0.001,0.04,3.2046,-5.07,-103.9,0.001,0.04,-0.3365,8.36,139.41,3.88E-04,0.04,-0.7288,6.88,-4,0.002,0.04,0.3471,25.95,426.25,0.002,0.04,-0.0876,-0.98,558.95,0.002,0.04,-1.0273,-5.24,86.04,-0.005,0.04,-0.2151,36.97,-472.62,0.01,0.04,-0.6568,0.4,236.04,0.002,0.04,1.4741,4.9,90.46,0.003,,,,
0.39,-6.5758,,,,,,,,,,,0.21,-0.7298,-44,-341.84,3.98E-04,0.21,-1.5354,24.84,-58.5,-0.003,0.042,,,,0.002,0.042,,,,0.008,0.042,,,,0.009,0.042,,,,-0.002,0.042,,,,-0.005,0.042,,,,0.002,0.042,,,,-0.005,0.042,,,,-0.006,0.042,,,,0.003,0.042,,,,0.009,0.042,,,,7.54E-04,0.042,,,,-0.003,0.042,,,,0.006,0.042,,,,-0.002,0.042,,,,0.01,,,,
0.4,-6.7164,,,,,,,,,,,0.22,-1.1603,-43.14,90.59,-0.003,0.22,-1.2979,25.62,132.75,0.002,0.044,,,,0.002,0.044,,,,0.009,0.044,,,,0.008,0.044,,,,-0.005,0.044,,,,0.002,0.044,,,,0.003,0.044,,,,-0.001,0.044,,,,4.49E-04,0.044,,,,0.007,0.044,,,,0.007,0.044,,,,-0.006,0.044,,,,0.002,0.044,,,,0.002,0.044,,,,-0.005,0.044,,,,0.006,,,,
0.41,-6.8225,,,,,,,,,,,0.23,-1.5926,-42.19,43.27,0.002,0.23,-1.0229,27.5,89.68,-0.002,0.046,,,,0.006,0.046,,,,0.003,0.046,,,,0.003,0.046,,,,0.001,0.046,,,,0.002,0.046,,,,0.011,0.046,,,,0.002,0.046,,,,0.003,0.046,,,,0.01,0.046,,,,0.003,0.046,,,,-3.20E-04,0.046,,,,0.002,0.046,,,,0.003,0.046,,,,0.002,0.046,,,,0.003,,,,
0.42,-6.8943,,,,,,,,,,,0.24,-2.0042,-42.27,34.73,-0.003,0.24,-0.7479,27.42,38.91,-0.002,0.048,,,,0.01,0.048,,,,0.003,0.048,,,,0.002,0.048,,,,0.003,0.048,,,,0.005,0.048,,,,0.005,0.048,,,,0.003,0.048,,,,0.003,0.048,,,,0.003,0.048,,,,0.002,0.048,,,,0.002,0.048,,,,0.009,0.048,,,,-0.005,0.048,,,,0.002,0.048,,,,0.002,,,,
0.43,-6.9301,,,,,,,,,,,0.25,-2.4381,-41.5,129.35,0.001,0.25,-0.4745,28.28,114.41,0.002,0.05,-2.2947,25.55,-291.12,0.003,0.05,0.511,4.05,206.61,-0.001,0.05,1.3932,-0.77,-416.64,-0.001,0.05,1.7871,2.67,-133.27,0.006,0.05,1.2297,-3.02,-644.35,0.01,0.05,1.61,17.36,-610.35,0.002,0.05,3.1548,-6.29,99.4,0.01,0.05,-0.2349,10.45,560.67,0.01,0.05,-0.66,6.8,38.98,0.002,0.05,0.6902,24.89,-519.76,-0.003,0.05,-0.0867,10.24,648.46,0.003,0.05,-1.0804,-4.38,89.97,0.009,0.05,0.0615,26.64,-520.69,-0.003,0.05,-0.608,-3.74,-595.82,0.006,0.05,1.5206,6.97,541.53,-0.005,,,,
0.44,-6.9488,,,,,,,,,,,0.26,-2.8341,-39.69,129.55,2.86E-04,0.26,-0.1824,29.71,-182.04,-0.003,0.052,,,,0.003,0.052,,,,-0.004,0.052,,,,-0.005,0.052,,,,0.01,0.052,,,,0.003,0.052,,,,0.002,0.052,,,,0.007,0.052,,,,0.005,0.052,,,,-1.12E-04,0.052,,,,-0.004,0.052,,,,0.01,0.052,,,,0.002,0.052,,,,0.002,0.052,,,,0.01,0.052,,,,-0.003,,,,
0.45,-6.9532,,,,,,,,,,,0.27,-3.2318,-38.91,125.31,-0.003,0.27,0.1196,24.64,-607.61,0.002,0.054,,,,-4.66E-04,0.054,,,,0.002,0.054,,,,0.002,0.054,,,,0.003,0.054,,,,0.002,0.054,,,,-0.004,0.054,,,,0.002,0.054,,,,0.001,0.054,,,,-0.006,0.054,,,,0.002,0.054,,,,0.006,0.054,,,,0.002,0.054,,,,0.002,0.054,,,,0.003,0.054,,,,0.003,,,,
0.46,-6.903,,,,,,,,,,,0.28,-3.6123,-37.18,172.55,0.002,0.28,0.3103,17.55,-100.56,-0.002,0.056,,,,-0.006,0.056,,,,0.003,0.056,,,,0.003,0.056,,,,0.002,0.056,,,,8.15E-04,0.056,,,,-0.002,0.056,,,,0.002,0.056,,,,0.002,0.056,,,,0.001,0.056,,,,0.002,0.056,,,,0.002,0.056,,,,-0.002,0.056,,,,0.008,0.056,,,,0.002,0.056,,,,0.003,,,,
