Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3
Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V)
2.24E-12,-2.24E-12,48.3,0.02,,,,,1.07E-12,-1.07E-12,23.7,0.01,,,,,25.3,-8.20E-14,11.6,8.20E-04,,,,
2.10E-12,-2.10E-12,48.8,0.02,,,,,1.07E-12,-1.07E-12,23.8,0.01,,,,,25.6,-1.80E-13,11.9,0,,,,
1.95E-12,-1.95E-12,49.4,0.02,,,,,1.08E-12,-1.08E-12,23.9,0.01,,,,,25.8,-2.62E-13,11.9,0,,,,
1.82E-12,-1.82E-12,49.7,0.02,,,,,1.08E-12,-1.08E-12,24.1,0.01,,,,,26.1,-3.60E-13,12.1,0,,,,
1.65E-12,-1.65E-12,50,0.02,,,,,1.08E-12,-1.08E-12,24.5,0.01,,,,,26.3,-4.67E-13,12.2,0,,,,
1.62E-12,-1.62E-12,50.3,0.02,,,,,1.08E-12,-1.08E-12,24.6,0.01,,,,,26.6,-6.71E-13,12.4,0.01,,,,
1.62E-12,-1.62E-12,50.3,0.02,,,,,1.08E-12,-1.08E-12,24.7,0.01,,,,,26.8,-8.16E-13,12.5,0.01,,,,
1.65E-12,-1.65E-12,50.9,0.02,,,,,1.07E-12,-1.07E-12,24.8,0.01,,,,,27.1,-1.10E-12,12.8,0.01,,,,
1.72E-12,-1.72E-12,51.1,0.02,,,,,1.07E-12,-1.07E-12,24.9,0.01,,,,,27.3,-1.37E-12,12.9,0.01,,,,
1.93E-12,-1.93E-12,52.2,0.02,,,,,1.06E-12,-1.06E-12,25.2,0.01,,,,,27.5,-1.63E-12,13,0.02,,,,
2.13E-12,-2.13E-12,52.6,0.02,,,,,1.06E-12,-1.06E-12,25.2,0.01,,,,,27.7,-1.86E-12,13.1,0.02,,,,
2.37E-12,-2.37E-12,52.7,0.02,,,,,1.06E-12,-1.06E-12,25.2,0.01,,,,,28,-2.23E-12,13.2,0.02,,,,
2.61E-12,-2.61E-12,52.8,0.03,,,,,1.05E-12,-1.05E-12,25.3,0.01,,,,,28.2,-2.46E-12,13.3,0.02,,,,
2.81E-12,-2.81E-12,53.2,0.03,,,,,1.05E-12,-1.05E-12,25.4,0.01,,,,,28.5,-2.78E-12,13.4,0.03,,,,
2.99E-12,-2.99E-12,53.6,0.03,,,,,1.05E-12,-1.05E-12,25.6,0.01,,,,,28.7,-3.01E-12,13.6,0.03,,,,
3.16E-12,-3.16E-12,53.8,0.03,,,,,1.04E-12,-1.04E-12,25.7,0.01,,,,,28.9,-3.26E-12,13.7,0.03,,,,
3.32E-12,-3.32E-12,54.1,0.03,,,,,1.04E-12,-1.04E-12,25.8,0.01,,,,,29.2,-3.68E-12,13.8,0.04,,,,
3.47E-12,-3.47E-12,54.6,0.03,,,,,1.03E-12,-1.03E-12,25.8,0.01,,,,,29.4,-3.98E-12,14,0.04,,,,
3.62E-12,-3.62E-12,55,0.04,,,,,1.03E-12,-1.03E-12,25.9,0.01,,,,,29.6,-4.32E-12,14.1,0.04,,,,
3.74E-12,-3.74E-12,55.2,0.04,,,,,1.02E-12,-1.02E-12,26.1,0.01,,,,,29.9,-4.91E-12,14.3,0.05,,,,
3.84E-12,-3.84E-12,55.4,0.04,,,,,1.02E-12,-1.02E-12,26.3,0.01,,,,,30,-5.11E-12,14.3,0.05,,,,
3.92E-12,-3.92E-12,55.7,0.04,,,,,1.01E-12,-1.01E-12,26.3,0.01,,,,,30.3,-5.70E-12,14.6,0.06,,,,
3.98E-12,-3.98E-12,56.5,0.04,,,,,1.01E-12,-1.01E-12,26.4,0.01,,,,,30.5,-6.17E-12,14.8,0.06,,,,
3.96E-12,-3.96E-12,56.9,0.04,,,,,1.01E-12,-1.01E-12,26.6,0.01,,,,,30.8,-6.91E-12,14.9,0.07,,,,
3.90E-12,-3.90E-12,57.4,0.04,,,,,1.00E-12,-1.00E-12,26.8,0.01,,,,,31,-7.28E-12,15.1,0.07,,,,
3.81E-12,-3.81E-12,57.8,0.04,,,,,1.00E-12,-1.00E-12,27,0.01,,,,,31.2,-7.66E-12,15.2,0.08,,,,
3.55E-12,-3.55E-12,58.2,0.04,,,,,1.00E-12,-1.00E-12,27.2,0.01,,,,,31.5,-8.22E-12,15.4,0.08,,,,
3.55E-12,-3.55E-12,58.2,0.04,,,,,1.01E-12,-1.01E-12,27.4,0.01,,,,,31.7,-8.59E-12,15.5,0.09,,,,
3.25E-12,-3.25E-12,59,0.03,,,,,1.01E-12,-1.01E-12,27.5,0.01,,,,,32.1,-9.45E-12,15.9,0.09,,,,
2.86E-12,-2.86E-12,59.6,0.03,,,,,1.02E-12,-1.02E-12,27.7,0.01,,,,,32.3,-1.00E-11,16.1,0.1,,,,
2.44E-12,-2.44E-12,60.5,0.02,,,,,1.02E-12,-1.02E-12,27.8,0.01,,,,,32.5,-1.06E-11,16.2,0.11,,,,
2.22E-12,-2.22E-12,60.7,0.02,,,,,1.04E-12,-1.04E-12,28.2,0.01,,,,,32.8,-1.12E-11,16.3,0.11,,,,
1.89E-12,-1.89E-12,61.7,0.02,,,,,1.05E-12,-1.05E-12,28.2,0.01,,,,,33,-1.14E-11,16.4,0.11,,,,
1.80E-12,-1.80E-12,62.2,0.02,,,,,1.06E-12,-1.06E-12,28.2,0.01,,,,,33.2,-1.17E-11,16.6,0.12,,,,
1.79E-12,-1.79E-12,62.5,0.02,,,,,1.08E-12,-1.08E-12,28.3,0.01,,,,,33.5,-1.22E-11,16.8,0.12,,,,
1.84E-12,-1.84E-12,62.7,0.02,,,,,1.09E-12,-1.09E-12,28.4,0.01,,,,,33.7,-1.26E-11,16.9,0.13,,,,
2.09E-12,-2.09E-12,63.7,0.02,,,,,1.11E-12,-1.11E-12,28.8,0.01,,,,,33.9,-1.29E-11,17,0.13,,,,
2.59E-12,-2.59E-12,64,0.03,,,,,1.11E-12,-1.11E-12,28.8,0.01,,,,,34.2,-1.34E-11,17.2,0.13,,,,
2.59E-12,-2.59E-12,64,0.03,,,,,1.15E-12,-1.15E-12,29.1,0.01,,,,,34.4,-1.37E-11,17.4,0.14,,,,
2.83E-12,-2.83E-12,64.3,0.03,,,,,1.18E-12,-1.18E-12,29.3,0.01,,,,,34.7,-1.43E-11,17.6,0.14,,,,
3.32E-12,-3.32E-12,65.3,0.03,,,,,1.18E-12,-1.18E-12,29.3,0.01,,,,,34.9,-1.46E-11,17.6,0.15,,,,
3.59E-12,-3.59E-12,65.6,0.04,,,,,1.22E-12,-1.22E-12,29.5,0.01,,,,,35.2,-1.49E-11,17.7,0.15,,,,
3.86E-12,-3.86E-12,66,0.04,,,,,1.25E-12,-1.25E-12,29.8,0.01,,,,,35.4,-1.50E-11,17.7,0.15,,,,
4.11E-12,-4.11E-12,66.5,0.04,,,,,1.28E-12,-1.28E-12,30,0.01,,,,,35.7,-1.52E-11,17.9,0.15,,,,
4.33E-12,-4.33E-12,66.8,0.04,,,,,1.36E-12,-1.36E-12,30,0.01,,,,,35.9,-1.53E-11,18,0.15,,,,
